"date","year","post_folder","post_title","source","source_url","image_count","category","event","location","mood","reels_usable","caption_summary","original_caption_path","korean_translation_path","notes"
"2014-12-05","2014","01_ORIGINAL_BY_YEAR/2014/2014-12-05_post_001_weihnachtsfeier_golfclub_feldafing","Weihnachtsfeier Golfclub Feldafing","Facebook - Münchner Knabenchor","TEMP_URL","2","Concert","Weihnachtsfeier","Golfclub Feldafing","Christmas","maybe","Unser Auftritt bei der Weihnachtsfeier im Golfclub Feldafing","01_ORIGINAL_BY_YEAR/2014/2014-12-05_post_001_weihnachtsfeier_golfclub_feldafing/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-12-05_post_001_weihnachtsfeier_golfclub_feldafing/caption_ko.txt",""
"2014-10-01","2014","01_ORIGINAL_BY_YEAR/2014/2014-10-01_post_001_no_caption_photo","No Caption Photo","Facebook - Münchner Knabenchor","TEMP_URL","1","Unknown","","","","maybe","","","",""
"2014-10-04","2014","01_ORIGINAL_BY_YEAR/2014/2014-10-04_post_001_no_caption_photos","No Caption Photos","Facebook - Münchner Knabenchor","TEMP_URL","7","Unknown","","","","maybe","","","",""
"2014-10-06","2014","01_ORIGINAL_BY_YEAR/2014/2014-10-06_post_001_no_caption_photos","No Caption Photos","Facebook - Münchner Knabenchor","TEMP_URL","2","Unknown","","","","maybe","","","",""
"2014-10-06","2014","01_ORIGINAL_BY_YEAR/2014/2014-10-06_post_002_gesehen_in_muenchen","Gesehen in Muenchen","Facebook - Münchner Knabenchor","TEMP_URL","1","Unknown","","München","","maybe","Gesehen in München","01_ORIGINAL_BY_YEAR/2014/2014-10-06_post_002_gesehen_in_muenchen/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-10-06_post_002_gesehen_in_muenchen/caption_ko.txt",""
"2014-10-12","2014","01_ORIGINAL_BY_YEAR/2014/2014-10-12_post_001_no_caption_photos","No Caption Photos","Facebook - Münchner Knabenchor","TEMP_URL","5","Unknown","","","","maybe","","","",""
"2014-10-17","2014","01_ORIGINAL_BY_YEAR/2014/2014-10-17_post_001_no_caption_photo","No Caption Photo","Facebook - Münchner Knabenchor","TEMP_URL","1","Unknown","","","","maybe","","","",""
"2014-10-18","2014","01_ORIGINAL_BY_YEAR/2014/2014-10-18_post_001_auftritt_am_17_oktober_in_planegg_abendessen","Auftritt am 17 Oktober in Planegg Abendessen","Facebook - Münchner Knabenchor","TEMP_URL","1","Concert","Auftritt","Planegg","Dinner","maybe","Auftritt am 17. Oktober in Planegg, Abendessen","01_ORIGINAL_BY_YEAR/2014/2014-10-18_post_001_auftritt_am_17_oktober_in_planegg_abendessen/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-10-18_post_001_auftritt_am_17_oktober_in_planegg_abendessen/caption_ko.txt",""
"2014-11-06","2014","01_ORIGINAL_BY_YEAR/2014/2014-11-06_post_001_probe_musical_cd_charles_dickens_weihnachtsgeschichte","Probe Musical CD Charles Dickens Weihnachtsgeschichte","Facebook - Münchner Knabenchor","TEMP_URL","1","Rehearsal","Probe / Musical-CD-Mitwirkung","Hamburg","Musical","maybe","30.10. Probe für Musical/CD-Mitwirkung Charles Dickens: Eine Weihnachtsgeschichte Premiere Hamburg, 22.11.2014","01_ORIGINAL_BY_YEAR/2014/2014-11-06_post_001_probe_musical_cd_charles_dickens_weihnachtsgeschichte/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-11-06_post_001_probe_musical_cd_charles_dickens_weihnachtsgeschichte/caption_ko.txt","Caption references 30.10. rehearsal and 22.11.2014 Hamburg premiere."
"2014-11-11","2014","01_ORIGINAL_BY_YEAR/2014/2014-11-11_post_001_auftritt_neurieder_kulturtage","Auftritt Neurieder Kulturtage","Facebook - Münchner Knabenchor","TEMP_URL","1","Concert","Neurieder Kulturtage","Neuried","Cultural event","maybe","Unser Auftritt bei den Neurieder Kulturtagen","01_ORIGINAL_BY_YEAR/2014/2014-11-11_post_001_auftritt_neurieder_kulturtage/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-11-11_post_001_auftritt_neurieder_kulturtage/caption_ko.txt",""
"2014-11-15","2014","01_ORIGINAL_BY_YEAR/2014/2014-11-15_post_001_no_caption_photos","No Caption Photos","Facebook - Münchner Knabenchor","TEMP_URL","8","Unknown","","","","maybe","","","",""
"2014-11-20","2014","01_ORIGINAL_BY_YEAR/2014/2014-11-20_post_001_auf_zum_konzert","Auf Zum Konzert","Facebook - Münchner Knabenchor","TEMP_URL","1","Concert","Konzert","","Departure","maybe","auf zum Konzert...","01_ORIGINAL_BY_YEAR/2014/2014-11-20_post_001_auf_zum_konzert/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-11-20_post_001_auf_zum_konzert/caption_ko.txt",""
"2014-11-21","2014","01_ORIGINAL_BY_YEAR/2014/2014-11-21_post_001_no_caption_photos","No Caption Photos","Facebook - Münchner Knabenchor","TEMP_URL","6","Unknown","","","","maybe","","","",""
"2014-11-29","2014","01_ORIGINAL_BY_YEAR/2014/2014-11-29_post_001_erstes_oeffentliches_konzert","Erstes Oeffentliches Konzert","Facebook - Münchner Knabenchor","TEMP_URL","1","Concert","Erstes öffentliches Konzert","","Debut","maybe","unser erstes öffentliches Konzert...","01_ORIGINAL_BY_YEAR/2014/2014-11-29_post_001_erstes_oeffentliches_konzert/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-11-29_post_001_erstes_oeffentliches_konzert/caption_ko.txt",""
"2014-12-11","2014","01_ORIGINAL_BY_YEAR/2014/2014-12-11_post_001_heute_in_der_tz","Heute In Der Tz And Muenchner Merkur","Facebook - Münchner Knabenchor","TEMP_URL","2","Press_Article","Press article","","Press","maybe","heute in der tz | heute im Münchner Merkur","01_ORIGINAL_BY_YEAR/2014/2014-12-11_post_001_heute_in_der_tz/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-12-11_post_001_heute_in_der_tz/caption_ko.txt","Two press article images; separate per-image captions stored in captions folder."
"2014-12-16","2014","01_ORIGINAL_BY_YEAR/2014/2014-12-16_post_001_zweimal_volles_steinway_haus_letzte_instruktionen","Zweimal Volles Steinway Haus Letzte Instruktionen","Facebook - Münchner Knabenchor","TEMP_URL","1","Concert","Konzert","Steinway-Haus","Before concert","maybe","Zweimal volles (Steinway-)Haus Letzte Instruktionen vor dem ersten Konzert","01_ORIGINAL_BY_YEAR/2014/2014-12-16_post_001_zweimal_volles_steinway_haus_letzte_instruktionen/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-12-16_post_001_zweimal_volles_steinway_haus_letzte_instruktionen/caption_ko.txt","Caption mentions last instructions before the first concert."
"2014-12-19","2014","01_ORIGINAL_BY_YEAR/2014/2014-12-19_post_001_auftritt_cafe_luitpold_weihnachtsfeier_klinikum_rechts_der_isar","Auftritt Cafe Luitpold Weihnachtsfeier Klinikum Rechts Der Isar","Facebook - Münchner Knabenchor","TEMP_URL","1","Concert","Weihnachtsfeier","Café Luitpold / Klinikum Rechts der Isar","Christmas","maybe","Auftritt im Café Luitpold anlässlich der Weihnachtsfeier der Belegschaft vom Klinikum Rechts der Isar","01_ORIGINAL_BY_YEAR/2014/2014-12-19_post_001_auftritt_cafe_luitpold_weihnachtsfeier_klinikum_rechts_der_isar/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-12-19_post_001_auftritt_cafe_luitpold_weihnachtsfeier_klinikum_rechts_der_isar/caption_ko.txt",""
"2014-12-26","2014","01_ORIGINAL_BY_YEAR/2014/2014-12-26_post_001_kupferzell_schwaebisch_hall_concerts","Kupferzell Schwaebisch Hall Concerts","Facebook - Münchner Knabenchor","TEMP_URL","4","Tour_Travel","Konzert / Auftritte","Kupferzell / Schwäbisch Hall","Concert trip","yes","Unser Konzert in Kupferzell am 21. Dezember vor 800 Gästen. Am nächsten Tag zwei Auftritte während unserer Stadtbesichtigung von Schwäbisch Hall - in der Kunsthalle Würth und der evangelischen Kirche St. Michael.","01_ORIGINAL_BY_YEAR/2014/2014-12-26_post_001_kupferzell_schwaebisch_hall_concerts/caption_original.txt","01_ORIGINAL_BY_YEAR/2014/2014-12-26_post_001_kupferzell_schwaebisch_hall_concerts/caption_ko.txt","Caption mentions Kupferzell, Schwäbisch Hall, Kunsthalle Würth, and St. Michael."
"2015-01-30","2015","01_ORIGINAL_BY_YEAR/2015/2015-01-30_post_001_no_caption_photos","No Caption Photos","Facebook - Münchner Knabenchor","TEMP_URL","2","Unknown","","","","maybe","","","",""
"2015-01-30","2015","01_ORIGINAL_BY_YEAR/2015/2015-01-30_post_002_kleine_kostprobe_steinway_konzert","Kleine Kostprobe Steinway Konzert","Facebook - Münchner Knabenchor","TEMP_URL","1","Concert","Steinway-Konzert","Steinway-Haus","Sample","maybe","kleine Kostprobe aus unserem Steinway-Konzert","01_ORIGINAL_BY_YEAR/2015/2015-01-30_post_002_kleine_kostprobe_steinway_konzert/caption_original.txt","01_ORIGINAL_BY_YEAR/2015/2015-01-30_post_002_kleine_kostprobe_steinway_konzert/caption_ko.txt","Separate post on same date as another 2015-01-30 entry."
"2015-03-12","2015","01_ORIGINAL_BY_YEAR/2015/2015-03-12_post_001_checker_tobi_probentag_schaeftlarn","Checker Tobi Probentag Schaeftlarn","Facebook - Münchner Knabenchor","TEMP_URL","6","Rehearsal","Checker Tobi / Probentag / Gottesdienst","Bavaria Musikstudios / Chorräume / Klosterkirche Schäftlarn","Active weekend","yes","Ein spannendes, chorintensives Wochenende liegt hinter uns: Am Freitag Nachmittag waren wir in den Bavaria Musikstudios zur Aufzeichnung der TV-Sendung ""Checker Tobi"". Am Samstag fand in unseren Chorräumen ein Probentag statt, und am Sonntag durften wir den Gottesdienst in der Klosterkirche Schäftlarn musikalisch mitgestalten. Im Anschluss gab es für jeden Sänger eine Pizza sowie Fußball, ein Trampolin , eine Slackline und einen Kletterbaum bei schönstem Frühlingswetter.","01_ORIGINAL_BY_YEAR/2015/2015-03-12_post_001_checker_tobi_probentag_schaeftlarn/caption_original.txt","01_ORIGINAL_BY_YEAR/2015/2015-03-12_post_001_checker_tobi_probentag_schaeftlarn/caption_ko.txt","Caption mentions TV recording, rehearsal day, church service, and outdoor activities."
"2015-03-23","2015","01_ORIGINAL_BY_YEAR/2015/2015-03-23_post_001_muenchner_stiftungsfruehling_bmw_welt","Muenchner Stiftungsfruehling BMW Welt","Facebook - Münchner Knabenchor","TEMP_URL","1","Collaboration","Münchner Stiftungsfrühling","BMW Welt","Public event","maybe","Anlässlich des Münchner Stiftungsfrühlings gab es in der BMW Welt nicht nur viel Interessantes in Form von flotten Sportwagen und luxuriösen Limousinen zu sehen. Auf einer Show-Bühne waren neben dem MÜNCHNER KNABENCHOR auch ein griechischer Kinderchor und einige andere Künstler zu hören, die den zahlreichen Besuchern der Veranstaltung ein abwechslungsreiches Musikprogramm boten.","01_ORIGINAL_BY_YEAR/2015/2015-03-23_post_001_muenchner_stiftungsfruehling_bmw_welt/caption_original.txt","01_ORIGINAL_BY_YEAR/2015/2015-03-23_post_001_muenchner_stiftungsfruehling_bmw_welt/caption_ko.txt","Caption mentions BMW Welt, Greek children's choir, and other artists."
